title,description,content,category,text
All the Ways Europe Is Ditching American Technology,"A WIRED timeline shows how dozens of governments, companies, and other organizations across Europe are moving, or planning to shift, away from US Big Tech.","Europe is done with American Big Tech. Well, sort of. Since the start of President Donald Trumps chaotic second administration last year, concerned governments and companies across the continent have… [+2955 chars]",technology,all the ways europe is ditching american technology a wired timeline shows how dozens of governments companies and other organizations across europe are moving or planning to shift away from us big tech europe is done with american big tech well sort of since the start of president donald trumps chaotic second administration last year concerned governments and companies across the continent have chars
IBM Crosses One of Computing’s Biggest Barriers With World’s First Sub-1 Nanometer Chip,The new chip technology packs nearly 100 billion transistors into a fingernail-sized chip.,"In a major breakthrough, IBM revealed the world’s first semiconductor chip technology built on a sub-1 nanometer chipmaking process. For comparison, the process uses transistor features smaller than … [+3403 chars]",technology,ibm crosses one of computings biggest barriers with worlds first sub nanometer chip the new chip technology packs nearly billion transistors into a fingernailsized chip in a major breakthrough ibm revealed the worlds first semiconductor chip technology built on a sub nanometer chipmaking process for comparison the process uses transistor features smaller than chars
Meta Is Testing Police Surveillance Tech for Its Smart Glasses,A report suggests ties between Meta's facial recognition technology and a company that sells surveillance tools to military and police.,"Meta is finding inspiration for its smart glasses in some pretty concerning corners. According to Wired, the company is testing software built by a firm that sells surveillance tech to the U.S. gover… [+2194 chars]",technology,meta is testing police surveillance tech for its smart glasses a report suggests ties between metas facial recognition technology and a company that sells surveillance tools to military and police meta is finding inspiration for its smart glasses in some pretty concerning corners according to wired the company is testing software built by a firm that sells surveillance tech to the us gover chars
Trump Admin Declares Total Victory Over Algae Thanks to ‘Advanced Nanobubbler Technology’,"""The Reflecting Pool water is crystal clear,"" the Department of the Interior insists.","The U.S. may have lost its war against Iran, but there is another war that President Donald Trump still might be able to win. And that’s his war on algae in Washington, D.C.’s Lincoln Memorial Reflec… [+4541 chars]",technology,trump admin declares total victory over algae thanks to advanced nanobubbler technology the reflecting pool water is crystal clear the department of the interior insists the us may have lost its war against iran but there is another war that president donald trump still might be able to win and thats his war on algae in washington dcs lincoln memorial reflec chars
Elon Musk is steamrolling Wall Street to become a trillionaire,"Today on Decoder, I’m talking to Ryan Mac, a technology reporter at The New York Times and coauthor of the excellent book Character Limit: How Elon Musk Destroyed Twitter, which came out in 2024. I can’t recommend it enough.  I wanted to have Ryan on the show…","<ul><li></li><li></li><li></li></ul>
The New York Times Ryan Mac on how the SpaceX IPO is shaping up to be the greatest Musk gambit yet.
by
Nilay PatelClose
Posts from this author will be added t… [+42386 chars]",technology,elon musk is steamrolling wall street to become a trillionaire today on decoder im talking to ryan mac a technology reporter at the new york times and coauthor of the excellent book character limit how elon musk destroyed twitter which came out in i cant recommend it enough i wanted to have ryan on the show ullilililililiul the new york times ryan mac on how the spacex ipo is shaping up to be the greatest musk gambit yet by nilay patelclose posts from this author will be added t chars
Schlage’s UWB-enabled smart lock launches this month,"It's been more than a year since Schlage announced its first smart lock to support ultra wideband technology (UWB), but now it's finally almost available to purchase. Starting June 29th, the Schlage Sense Pro deadbolt lock will be available for $399 in the US…","<ul><li></li><li></li><li></li></ul>
The Schlage Sense Pro will work with Apples Home Key hands-free unlocking and is its first to support Matter and Thread.
The Schlage Sense Pro will work with Ap… [+3213 chars]",technology,schlages uwbenabled smart lock launches this month its been more than a year since schlage announced its first smart lock to support ultra wideband technology uwb but now its finally almost available to purchase starting june th the schlage sense pro deadbolt lock will be available for in the us ullilililililiul the schlage sense pro will work with apples home key handsfree unlocking and is its first to support matter and thread the schlage sense pro will work with ap chars
AI leaders call for tougher protections against AI-aided bioweapons,"Some of the AI industry's biggest rivals have put their many, many grievances aside for a common cause: making it harder for people to use their technology to develop biological weapons. In an open letter to US lawmakers, tech leaders are pressing Congress to…","<ul><li></li><li></li><li></li></ul>
AI industry rivals rarely agree, but theyre all concerned their technology could be used to develop biological weapons.
AI industry rivals rarely agree, but the… [+3704 chars]",technology,ai leaders call for tougher protections against aiaided bioweapons some of the ai industrys biggest rivals have put their many many grievances aside for a common cause making it harder for people to use their technology to develop biological weapons in an open letter to us lawmakers tech leaders are pressing congress to ullilililililiul ai industry rivals rarely agree but theyre all concerned their technology could be used to develop biological weapons ai industry rivals rarely agree but the chars
Meta Tapped a Pentagon Supplier to Prototype Face Recognition for Its Glasses,"Rank One, whose board includes a former CIA deputy director and a former FBI science chief, supplied face recognition to Meta for internal development of its smart glasses app.","Meta is testingface-recognition software built by a company that sells surveillance tools to police departments and the United States military, as it explores bringing the technology to its smart gla… [+3367 chars]",technology,meta tapped a pentagon supplier to prototype face recognition for its glasses rank one whose board includes a former cia deputy director and a former fbi science chief supplied face recognition to meta for internal development of its smart glasses app meta is testingfacerecognition software built by a company that sells surveillance tools to police departments and the united states military as it explores bringing the technology to its smart gla chars
The Secret Revolution in Battery Technology: 3-D Printing,"""There's a revolution in battery technology hiding in plain sight,"" reports The Wall Street Journal. ""The 3-D printing of batteries has the potential to put energy storage inside any device. 

""This will enable lightweight and long-lasting consumer gadgets, l…","""There's a revolution in battery technology hiding in plain sight,"" reports The Wall Street Journal. ""The 3-D printing of batteries has the potential to put energy storage inside any device.""This wil… [+2151 chars]",technology,the secret revolution in battery technology d printing theres a revolution in battery technology hiding in plain sight reports the wall street journal the d printing of batteries has the potential to put energy storage inside any device this will enable lightweight and longlasting consumer gadgets l theres a revolution in battery technology hiding in plain sight reports the wall street journal the d printing of batteries has the potential to put energy storage inside any devicethis wil chars
The White House Is Making Up Its Rules for AI in Real Time,Anthropic still can’t distribute Claude Mythos or Fable 5 after running afoul of the Trump administration. But no one can say exactly what the company did wrong.,"Its been nearly a week since the Trump administration sent an export control directive to Anthropic, forcing one of the worlds leading AI labs to pull its most advanced models offline. After days of … [+3695 chars]",technology,the white house is making up its rules for ai in real time anthropic still cant distribute claude mythos or fable after running afoul of the trump administration but no one can say exactly what the company did wrong its been nearly a week since the trump administration sent an export control directive to anthropic forcing one of the worlds leading ai labs to pull its most advanced models offline after days of chars
