source,author,title,description,url,urlToImage,publishedAt,content,category
"{'id': 'wired', 'name': 'Wired'}",Matt Burgess,All the Ways Europe Is Ditching American Technology,"A WIRED timeline shows how dozens of governments, companies, and other organizations across Europe are moving, or planning to shift, away from US Big Tech.",https://www.wired.com/story/all-the-ways-europe-is-ditching-american-technology/,"https://media.wired.com/photos/6a235c1dcd4553222cef6d1b/191:100/w_1280,c_limit/All-Ways-Europe-Ditching-US-Tech-Security.jpg",2026-06-08T06:00:00Z,"Europe is done with American Big Tech. Well, sort of. Since the start of President Donald Trumps chaotic second administration last year, concerned governments and companies across the continent have… [+2955 chars]",technology
"{'id': None, 'name': 'Gizmodo.com'}",Gayoung Lee,IBM Crosses One of Computing’s Biggest Barriers With World’s First Sub-1 Nanometer Chip,The new chip technology packs nearly 100 billion transistors into a fingernail-sized chip.,https://gizmodo.com/ibm-crosses-one-of-computings-biggest-barriers-with-worlds-first-sub-1-nanometer-chip-2000777736,https://gizmodo.com/app/uploads/2026/06/Sub-1nm-node-chip-ibm-1200x675.jpg,2026-06-25T16:40:02Z,"In a major breakthrough, IBM revealed the world’s first semiconductor chip technology built on a sub-1 nanometer chipmaking process. For comparison, the process uses transistor features smaller than … [+3403 chars]",technology
"{'id': None, 'name': 'Gizmodo.com'}",James Pero,Meta Is Testing Police Surveillance Tech for Its Smart Glasses,A report suggests ties between Meta's facial recognition technology and a company that sells surveillance tools to military and police.,https://gizmodo.com/meta-is-testing-police-surveillance-tech-for-its-smart-glasses-2000771931,https://gizmodo.com/app/uploads/2025/09/ray-ban-meta-gen-2-10-1200x675.jpg,2026-06-15T15:55:35Z,"Meta is finding inspiration for its smart glasses in some pretty concerning corners. According to Wired, the company is testing software built by a firm that sells surveillance tech to the U.S. gover… [+2194 chars]",technology
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Trump Admin Declares Total Victory Over Algae Thanks to ‘Advanced Nanobubbler Technology’,"""The Reflecting Pool water is crystal clear,"" the Department of the Interior insists.",https://gizmodo.com/trump-admin-declares-total-victory-over-algae-thanks-to-advanced-nanobubbler-technology-2000773791,https://gizmodo.com/app/uploads/2026/06/reflecting-pool-algae-1200x675.jpg,2026-06-18T20:55:49Z,"The U.S. may have lost its war against Iran, but there is another war that President Donald Trump still might be able to win. And that’s his war on algae in Washington, D.C.’s Lincoln Memorial Reflec… [+4541 chars]",technology
"{'id': 'the-verge', 'name': 'The Verge'}",Nilay Patel,Elon Musk is steamrolling Wall Street to become a trillionaire,"Today on Decoder, I’m talking to Ryan Mac, a technology reporter at The New York Times and coauthor of the excellent book Character Limit: How Elon Musk Destroyed Twitter, which came out in 2024. I can’t recommend it enough.  I wanted to have Ryan on the show…",https://www.theverge.com/podcast/942586/elon-musk-spacex-ipo-x-xai-index-funds,https://platform.theverge.com/wp-content/uploads/sites/2/2026/06/VRG_DCD_0604_Musk_IPO_AParkin.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2026-06-04T13:56:19Z,"<ul><li></li><li></li><li></li></ul>
The New York Times Ryan Mac on how the SpaceX IPO is shaping up to be the greatest Musk gambit yet.
by
Nilay PatelClose
Posts from this author will be added t… [+42386 chars]",technology
"{'id': 'the-verge', 'name': 'The Verge'}",Jess Weatherbed,Schlage’s UWB-enabled smart lock launches this month,"It's been more than a year since Schlage announced its first smart lock to support ultra wideband technology (UWB), but now it's finally almost available to purchase. Starting June 29th, the Schlage Sense Pro deadbolt lock will be available for $399 in the US…",https://www.theverge.com/tech/950564/schlage-sense-pro-uwb-aliro-deadlock-price-availability,https://platform.theverge.com/wp-content/uploads/sites/2/2026/06/ENTRYWAY_BE889_SEP622_DAV_COL_EXT_IU_01-1.jpg?quality=90&strip=all&crop=0%2C11.874755925629%2C100%2C76.250488148741&w=1200,2026-06-16T11:37:08Z,"<ul><li></li><li></li><li></li></ul>
The Schlage Sense Pro will work with Apples Home Key hands-free unlocking and is its first to support Matter and Thread.
The Schlage Sense Pro will work with Ap… [+3213 chars]",technology
"{'id': 'the-verge', 'name': 'The Verge'}",Robert Hart,AI leaders call for tougher protections against AI-aided bioweapons,"Some of the AI industry's biggest rivals have put their many, many grievances aside for a common cause: making it harder for people to use their technology to develop biological weapons. In an open letter to US lawmakers, tech leaders are pressing Congress to…",https://www.theverge.com/ai-artificial-intelligence/942956/ai-biological-weapons-open-letter-congress,https://platform.theverge.com/wp-content/uploads/sites/2/2026/06/acastro_200512_1777_faceMask_0001.0.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2026-06-04T12:12:12Z,"<ul><li></li><li></li><li></li></ul>
AI industry rivals rarely agree, but theyre all concerned their technology could be used to develop biological weapons.
AI industry rivals rarely agree, but the… [+3704 chars]",technology
"{'id': 'wired', 'name': 'Wired'}","Dell Cameron, Dhruv Mehrotra",Meta Tapped a Pentagon Supplier to Prototype Face Recognition for Its Glasses,"Rank One, whose board includes a former CIA deputy director and a former FBI science chief, supplied face recognition to Meta for internal development of its smart glasses app.",https://www.wired.com/story/meta-rank-one-computing-face-recognition-smart-glasses/,"https://media.wired.com/photos/6a2a0a5069d7cd90279b88e1/191:100/w_1280,c_limit/security_meta_glasses_pentagon.jpg",2026-06-15T09:00:00Z,"Meta is testingface-recognition software built by a company that sells surveillance tools to police departments and the United States military, as it explores bringing the technology to its smart gla… [+3367 chars]",technology
"{'id': None, 'name': 'Slashdot.org'}",EditorDavid,The Secret Revolution in Battery Technology: 3-D Printing,"""There's a revolution in battery technology hiding in plain sight,"" reports The Wall Street Journal. ""The 3-D printing of batteries has the potential to put energy storage inside any device. 

""This will enable lightweight and long-lasting consumer gadgets, l…",https://hardware.slashdot.org/story/26/06/21/2324220/the-secret-revolution-in-battery-technology-3-d-printing,https://a.fsdn.com/sd/topics/power_64.png,2026-06-21T23:27:00Z,"""There's a revolution in battery technology hiding in plain sight,"" reports The Wall Street Journal. ""The 3-D printing of batteries has the potential to put energy storage inside any device.""This wil… [+2151 chars]",technology
"{'id': 'wired', 'name': 'Wired'}",Maxwell Zeff,The White House Is Making Up Its Rules for AI in Real Time,Anthropic still can’t distribute Claude Mythos or Fable 5 after running afoul of the Trump administration. But no one can say exactly what the company did wrong.,https://www.wired.com/story/anthropic-mythos-export-controls-ai-regulations/,"https://media.wired.com/photos/6a342bff039398b1addb3ba2/191:100/w_1280,c_limit/Model-Behavior-SB.jpg",2026-06-18T21:03:43Z,"Its been nearly a week since the Trump administration sent an export control directive to Anthropic, forcing one of the worlds leading AI labs to pull its most advanced models offline. After days of … [+3695 chars]",technology
